Player,T1_1,T1_2,T2_1,T2_2,T3_1,T3_2,H1_1,H1_2,H2_1,H2_2,H3_1,H3_2,hand,angle 1,angle 2,height,weight,BA,AB,H,HR,R,RBI,SB,OBP,SLG,OPS,OPS+
George_Brett,0.509828,0.016,0.77027,0.177,0.583538,0.273,0.568796,0.039,0.562654,0.436,0.373464,0.423,1,,,183,185,0.305,10349,3154,317,1583,1596,201,0.369,0.487,0.857,135
Hank_Aaron,0.760291,0.14134,0.829298,0.509804,0.61138,0.527778,0.636804,0.290033,0.662228,0.575163,0.449153,0.546569,0,,,183,180,0.305,12364,3771,755,2174,2297,240,0.374,0.555,0.928,155
Mike_Trout,0.629386,0.033915,0.477522,0.252907,0.568531,0.42345,0.564693,0.177326,0.492873,0.693798,0.615132,0.676357,0,,,187,235,0.305,5108,1562,75,717,408,172,0.339,0.416,0.755,108
Rusty_Greer,0.57335,0.086601,0.844743,0.306373,0.58802,0.368464,0.564792,0.147059,0.594132,0.502451,0.376528,0.466503,1,,,183,190,0.305,3829,1166,119,643,614,31,0.387,0.478,0.865,119
Charlie_Blackmon,0.437939,0.010742,0.749415,0.214844,0.540984,0.348633,0.519906,0.089844,0.601874,0.470703,0.386417,0.433594,1,,,190,220,0.304,6301,1917,220,870,947,86,0.353,0.476,0.83,131
Tony_Oliva,0.487028,0.087426,0.5,0.444008,0.338443,0.507859,0.325472,0.277014,0.433962,0.549116,0.264151,0.539293,1,,,185,175,0.304,6301,1917,220,870,947,86,0.353,0.476,0.83,131
Al_Oliver,0.511401,0.099768,0.848534,0.411833,0.503257,0.546404,0.469055,0.12761,0.586319,0.692575,0.252443,0.700696,1,,,183,195,0.303,9049,2743,219,1189,1326,84,0.344,0.451,0.795,121
Chipper_Jones,0.468333,0.043522,0.841667,0.290486,0.641667,0.401822,0.6,0.157895,0.64,0.515182,0.388333,0.507085,1,,,195,210,0.303,8984,2726,468,1619,1623,150,0.401,0.529,0.93,141
Mark_Grace,0.571429,0.06,0.886447,0.422857,0.681319,0.428571,0.595238,0.168571,0.531136,0.518571,0.371795,0.501429,1,,,187,190,0.303,8065,2445,173,1179,1146,70,0.383,0.442,0.825,119
Mike_Greenwell,0.858712,0.12207,0.712299,0.412598,0.516837,0.446289,0.57101,0.214355,0.592972,0.527344,0.38653,0.508301,1,,,183,170,0.303,4623,1400,130,657,726,80,0.368,0.463,0.831,121
Moises_Alou,0.459239,0.023723,0.266304,0.35219,0.451087,0.44708,0.459239,0.244526,0.402174,0.583942,0.608696,0.560219,0,,,190,185,0.303,7037,2134,332,1109,1287,106,0.369,0.516,0.885,128
Pete_Rose,0.469828,0.013235,0.27931,0.431618,0.493103,0.454412,0.522414,0.15,0.471552,0.524265,0.693966,0.508088,1,,,180,192,0.303,14053,4256,160,2165,1314,198,0.375,0.409,0.784,118
